Time, ind speed, true speed, alt-m, rv-m, kren, tang, cax, weight, gear comp main, tnv, tvg
0.5666666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.558333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.541666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4.533333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5.525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6.516666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7.508333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9.491666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10.48333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11.475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
